url,filename,points,Abstraction,Parallelism,Logic,Synchronization,Flow control,User interactivity,Data representation,Math operators,Motion operators,DuplicateScripts,DeadCode,SpriteNaming,BackdropNaming,Error,dashboard_mode,Van points,Van Abstraction,Van Parallelism,Van Logic,Van Synchronization,Van Flow control,Van User interactivity,Van Data representation,tot_blocks
,287252331.sb3,23,1/4,1/4,4/4,1/4,4/4,2/4,4/4,2/4,4/4,0,5,1,10,None,Default,14,1/3,1/3,3/3,1/3,3/3,2/3,3/3,109
,285951068.sb3,21,4/4,3/4,2/4,0/4,2/4,1/4,4/4,2/4,3/4,0,1,0,1,None,Default,14,3/3,3/3,2/3,0/3,2/3,1/3,3/3,46
,297147909.sb3,25,4/4,3/4,0/4,2/4,3/4,1/4,4/4,4/4,4/4,4,0,0,1,None,Default,15,3/3,3/3,0/3,2/3,3/3,1/3,3/3,207
,260207741.sb3,16,1/4,4/4,1/4,2/4,2/4,2/4,4/4,0/4,0/4,0,1,0,1,None,Default,14,1/3,3/3,1/3,2/3,2/3,2/3,3/3,98
,287742285.sb3,27,3/4,4/4,3/4,3/4,3/4,2/4,4/4,1/4,4/4,0,2,0,1,None,Default,20,3/3,3/3,3/3,3/3,3/3,2/3,3/3,198
,283525090.sb3,16,4/4,3/4,0/4,2/4,2/4,2/4,1/4,0/4,2/4,0,0,3,1,None,Default,13,3/3,3/3,0/3,2/3,2/3,2/3,1/3,51
,290457960.sb3,8,1/4,1/4,0/4,0/4,2/4,2/4,1/4,1/4,0/4,2,0,0,1,None,Default,7,1/3,1/3,0/3,0/3,2/3,2/3,1/3,34
,306395049.sb3,32,4/4,3/4,4/4,3/4,4/4,2/4,4/4,4/4,4/4,0,0,0,4,None,Default,20,3/3,3/3,3/3,3/3,3/3,2/3,3/3,167
,290445298.sb3,23,4/4,4/4,1/4,4/4,2/4,1/4,4/4,0/4,3/4,0,0,0,1,None,Default,16,3/3,3/3,1/3,3/3,2/3,1/3,3/3,186
,289819334.sb3,6,1/4,1/4,0/4,0/4,1/4,2/4,1/4,0/4,0/4,0,2,3,1,None,Default,6,1/3,1/3,0/3,0/3,1/3,2/3,1/3,13
,311335971.sb3,16,1/4,4/4,0/4,4/4,2/4,1/4,3/4,0/4,1/4,0,2,5,1,None,Default,13,1/3,3/3,0/3,3/3,2/3,1/3,3/3,114
,255614665.sb3,13,2/4,3/4,0/4,1/4,2/4,1/4,1/4,0/4,3/4,0,0,1,1,None,Default,10,2/3,3/3,0/3,1/3,2/3,1/3,1/3,30
,278252500.sb3,10,1/4,1/4,0/4,1/4,2/4,1/4,1/4,0/4,3/4,0,2,2,1,None,Default,7,1/3,1/3,0/3,1/3,2/3,1/3,1/3,37
,286404815.sb3,17,1/4,4/4,1/4,2/4,2/4,3/4,4/4,0/4,0/4,0,0,8,1,None,Default,15,1/3,3/3,1/3,2/3,2/3,3/3,3/3,115
,277121606.sb3,29,4/4,3/4,4/4,3/4,3/4,2/4,4/4,2/4,4/4,0,15,0,4,None,Default,20,3/3,3/3,3/3,3/3,3/3,2/3,3/3,229
,287519720.sb3,29,4/4,3/4,4/4,3/4,4/4,2/4,4/4,1/4,4/4,0,2,6,14,None,Default,20,3/3,3/3,3/3,3/3,3/3,2/3,3/3,186
,284070630.sb3,11,1/4,4/4,0/4,2/4,1/4,2/4,1/4,0/4,0/4,0,1,4,0,None,Default,10,1/3,3/3,0/3,2/3,1/3,2/3,1/3,33
